alternateNames,district,Code
Qalandar.,Qalandar,1410
"Sabari, Sabaro, Yaqubi.",Sabari,1407
"Shamul, Shamal.",Shamul,1412
"Spera, Sperah.",Spera,1411
"Tanay, Tani.",Tanay,1404
"Tirzayee, Terezayi, Tere Zayi, Ali Sher, Alisher.",Tirzayee,1408
"Asad Abad, Asadabad.",Asad Abad,1501
"Bar Kunar, Bar Konar, Barkunar, Asmar.",Bar Kunar,1508
"Chapa Dara, Chapah Darah, Chapadara.",Chapa Dara,1513
Dangam.,Dangam,1512
"Dara-e-Pech, Dara-I-Pech, Darah-ye Pech, Pech Dara, Mano Gai, Manogai, Manogay.",Dara-e-Pech,1507
"Ghazi Abad, Ghaziabad.",Ghazi Abad,1511
"Khas Kunar, Khaskunar, Khas.",Khas Kunar,1510
"Marawara, Marwara.",Marawara,1502
"Narang Wa Badil, Narang.",Narang Wa Badil,1504
"Nari, Naray.",Nari,1515
"Noorgal, Nurgal.",Noorgal,1514
"Sar Kani, Sarkani, Sarkano.",Sar Kani,1505
"Sawkai, Sowkay, Chawkai, Chowkay, Chawkey, Tsokey, Sewki.",Sawkai,1509
"Sheltan, Soltan.  (The Shigal and the Sheltan areas are combined as ""Shigal wa Sheltan"" in the 399 and 407 sets, but are separate districts in the 419 and 421 sets.)",Sheltan,1516
"Shigal, Shigal wa Sheltan. (The Shigal and the Sheltan areas are combined as ""Shigal wa Sheltan"" in the 399 and 407 sets, but are separate districts in the 419 and 421 sets.)",Shigal,1506
"Watapoor, Watahpur, Watapur.",Watapoor,1503
"Ali Abad, Aliabad.",Ali Abad,1903
Aqtash.  (Aqtash is part of Khan Abad in the 399 and 407 sets.),Aqtash,1910
"Calbad, Galbad, Kalbad, Qulbad.  (Calbad is part of Dasht-e-Archi in the 399 and 407 sets.)",Calbad,1908
"Chahar Darah, Chardarah, Chardara.",Chahar Darah,1902
"Dasht-e-Archi, Dasht-i-Archi.  (Calbad is part of Dasht-e-Archi in the 399 and 407 sets.)",Dasht-e-Archi,1906
"Gurtipa, Gortepa, Gultepa (incorrect)..  (Gurtepa is part of the Kunduz capital district in the 399 and 407 sets.)",Gurtipa,1909
